user_id,top_concept_names,top_concept_acts,overlap,new_items,popular_before,popular_after
5025,popularity|Documentary|retro,+0.498|+0.264|+0.245,5,15,19,13
5069,Mystery|Fantasy|Crime,+0.478|+0.409|+0.402,17,3,5,7
5024,classic|popularity|Musical,+0.331|+0.327|+0.253,8,12,10,12
5023,popularity|Mystery|Adventure,+0.256|+0.202|+0.200,11,9,12,7
5022,Fantasy|popularity|Adventure,+0.708|+0.482|+0.424,8,12,12,13
5021,War|Western|popularity,+0.973|+0.399|+0.302,8,12,6,3
5020,Horror|Sci-Fi|Musical,+0.887|+0.305|+0.244,12,8,0,0
5019,popularity|classic|Documentary,+0.421|+0.420|+0.329,11,9,11,13
5018,modern|popularity|Romance,+0.482|+0.467|+0.434,15,5,16,19
5017,Sci-Fi|popularity|Fantasy,+0.592|+0.355|+0.345,14,6,15,15
5016,Drama|modern|popularity,+0.801|+0.514|+0.187,4,16,1,4
5015,Animation|Musical|popularity,+0.330|+0.233|+0.216,12,8,8,6
5013,classic|Documentary|popularity,+0.648|+0.317|+0.301,11,9,6,11
5014,Sci-Fi|Horror|Adventure,+0.790|+0.278|+0.278,12,8,10,6
5012,Western|War|classic,+0.941|+0.388|+0.380,12,8,3,8
5011,popularity|modern|Adventure,+0.509|+0.385|+0.326,6,14,18,17
5010,War|Western|popularity,+0.957|+0.396|+0.276,10,10,5,3
5008,Adventure|Action|Fantasy,+0.944|+0.399|+0.322,10,10,7,10
5009,popularity|Sci-Fi|Romance,+0.602|+0.377|+0.377,10,10,18,14
5007,modern|popularity|Animation,+0.472|+0.406|+0.347,13,7,17,17
5006,classic|Musical|Animation,+0.693|+0.309|+0.279,12,8,1,0
5005,Drama|modern|Romance,+0.623|+0.269|+0.138,11,9,0,0
5004,Comedy|popularity|Musical,+0.826|+0.378|+0.244,8,12,17,12
5003,Thriller|popularity|modern,+0.690|+0.535|+0.359,8,12,16,12
5002,popularity|classic|Mystery,+0.617|+0.352|+0.272,8,12,14,13
5001,Drama|popularity|War,+0.836|+0.266|+0.157,2,18,3,2
5000,Adventure|popularity|retro,+0.610|+0.368|+0.279,15,5,3,3
4999,Comedy|popularity|Musical,+0.801|+0.427|+0.242,5,15,19,12
4998,Crime|popularity|Mystery,+0.952|+0.360|+0.297,7,13,4,4
4996,Crime|popularity|Mystery,+0.877|+0.444|+0.276,7,13,8,8
4997,Comedy|modern|popularity,+0.671|+0.373|+0.286,11,9,0,0
4995,modern|popularity|Drama,+0.581|+0.363|+0.283,5,15,8,10
4993,Romance|popularity|War,+0.814|+0.402|+0.273,10,10,10,6
4994,popularity|Sci-Fi|Adventure,+0.545|+0.479|+0.441,13,7,16,11
4992,Romance|popularity|Mystery,+0.658|+0.494|+0.239,8,12,17,14
4991,popularity|Sci-Fi|retro,+0.310|+0.210|+0.208,13,7,14,9
4990,Comedy|popularity|Documentary,+0.524|+0.391|+0.353,17,3,11,12
4989,modern|popularity|Drama,+0.528|+0.468|+0.218,5,15,16,16
4988,popularity|modern|Drama,+0.525|+0.481|+0.285,11,9,19,20
4986,Sci-Fi|popularity|Fantasy,+0.531|+0.431|+0.266,12,8,17,16
4987,Action|popularity|modern,+0.804|+0.356|+0.300,11,9,10,12
4985,Action|Adventure|popularity,+0.903|+0.284|+0.280,7,13,5,4
4984,Drama|modern|retro,+0.644|+0.260|+0.145,9,11,0,0
4983,Animation|Fantasy|Adventure,+0.555|+0.479|+0.369,11,9,0,0
4982,retro|popularity|Action,+0.640|+0.548|+0.277,10,10,17,15
4981,Romance|modern|Musical,+0.831|+0.402|+0.275,9,11,0,0
4980,popularity|Musical|classic,+0.568|+0.445|+0.277,6,14,11,9
4979,contemporary|Crime|Sci-Fi,+0.753|+0.258|+0.234,14,6,2,5
4978,Sci-Fi|popularity|Adventure,+0.761|+0.333|+0.327,14,6,1,1
4977,Animation|contemporary|Fantasy,+0.243|+0.216|+0.199,17,3,0,0
4976,popularity|Animation|contemporary,+0.261|+0.218|+0.189,16,4,5,4
4975,retro|popularity|War,+0.333|+0.220|+0.188,13,7,4,2
4974,Fantasy|Crime|Mystery,+0.406|+0.364|+0.349,17,3,4,5
4973,contemporary|popularity|Drama,+0.580|+0.401|+0.261,14,6,12,13
4972,Comedy|popularity|modern,+0.754|+0.385|+0.344,9,11,15,13
4971,Comedy|popularity|Musical,+0.766|+0.493|+0.226,10,10,20,16
4970,War|Western|Action,+0.856|+0.403|+0.320,7,13,1,12
4969,classic|Drama|niche,+0.632|+0.371|+0.306,8,12,5,14
4968,Mystery|classic|Fantasy,+0.401|+0.368|+0.364,15,5,7,10
4967,contemporary|popularity|Animation,+0.912|+0.329|+0.288,14,6,2,3
4966,Action|popularity|Sci-Fi,+0.805|+0.408|+0.253,6,14,19,10
4965,contemporary|popularity|Animation,+0.870|+0.358|+0.302,14,6,1,2
4964,Western|classic|War,+0.895|+0.339|+0.330,17,3,3,4
4963,Drama|modern|popularity,+0.589|+0.515|+0.173,11,9,0,0
4962,Fantasy|popularity|Sci-Fi,+0.493|+0.459|+0.362,14,6,18,18
4961,contemporary|popularity|niche,+0.347|+0.253|+0.224,10,10,9,6
4960,Western|Animation|popularity,+0.346|+0.327|+0.308,15,5,8,6
4959,popularity|retro|Documentary,+0.506|+0.318|+0.291,8,12,20,19
4958,Horror|Sci-Fi|popularity,+0.917|+0.307|+0.261,9,11,5,3
4957,retro|Documentary|Fantasy,+0.419|+0.280|+0.273,16,4,0,1
4956,Thriller|popularity|Mystery,+0.551|+0.509|+0.301,9,11,14,10
4955,Musical|Animation|classic,+0.923|+0.551|+0.400,11,9,7,8
4954,Comedy|popularity|Documentary,+0.861|+0.317|+0.222,8,12,18,11
4953,War|modern|Western,+0.809|+0.441|+0.331,15,5,6,10
4952,modern|popularity|Drama,+0.590|+0.468|+0.242,7,13,15,15
4951,popularity|contemporary|Comedy,+0.385|+0.308|+0.224,13,7,17,12
4950,Documentary|popularity|classic,+0.385|+0.353|+0.326,7,13,13,16
4949,modern|popularity|Drama,+0.491|+0.487|+0.280,9,11,20,20
4948,popularity|Drama|retro,+0.345|+0.243|+0.211,5,15,8,2
4947,War|popularity|retro,+0.469|+0.468|+0.376,13,7,12,11
4946,Western|War|classic,+0.965|+0.404|+0.391,14,6,3,6
4945,popularity|classic|retro,+0.581|+0.242|+0.202,8,12,13,14
4944,Sci-Fi|popularity|Fantasy,+0.615|+0.369|+0.317,12,8,14,15
4943,retro|Drama|popularity,+0.583|+0.416|+0.303,14,6,9,9
4942,popularity|Western|retro,+0.506|+0.297|+0.239,8,12,10,6
4941,modern|popularity|Documentary,+0.481|+0.408|+0.318,12,8,18,20
4940,classic|popularity|Musical,+0.379|+0.319|+0.245,13,7,4,0
4939,contemporary|popularity|Crime,+0.776|+0.457|+0.253,11,9,6,9
4938,popularity|Animation|Western,+0.356|+0.338|+0.329,15,5,8,6
4937,contemporary|Documentary|popularity,+0.859|+0.309|+0.273,7,13,3,10
4936,popularity|contemporary|Animation,+0.665|+0.588|+0.214,15,5,13,16
4935,popularity|Drama|War,+0.514|+0.467|+0.247,10,10,20,20
4934,Drama|modern|popularity,+0.585|+0.515|+0.391,11,9,12,11
4933,Mystery|Crime|Thriller,+0.852|+0.401|+0.280,16,4,4,3
4932,Comedy|popularity|modern,+0.752|+0.367|+0.284,11,9,16,14
4931,Western|Animation|popularity,+0.387|+0.297|+0.290,15,5,8,5
4930,classic|Musical|Western,+0.649|+0.295|+0.265,17,3,1,2
4929,classic|War|Musical,+0.586|+0.311|+0.310,12,8,6,6
4928,Adventure|Romance|Fantasy,+0.806|+0.308|+0.261,16,4,0,2
4927,Drama|modern|popularity,+0.601|+0.481|+0.394,8,12,11,13
4926,Romance|popularity|Musical,+0.706|+0.532|+0.238,6,14,17,11
4925,Comedy|popularity|Musical,+0.830|+0.327|+0.249,8,12,16,9
4924,popularity|Drama|Documentary,+0.407|+0.334|+0.320,9,11,18,19
4923,popularity|modern|War,+0.541|+0.441|+0.420,12,8,17,19
4922,modern|popularity|Animation,+0.542|+0.496|+0.155,1,19,14,11
4921,Thriller|popularity|Mystery,+0.795|+0.373|+0.324,4,16,11,3
4920,classic|Documentary|Musical,+0.485|+0.382|+0.325,3,17,8,19
4919,popularity|retro|Animation,+0.662|+0.561|+0.177,7,13,18,19
4918,popularity|Horror|Crime,+0.482|+0.203|+0.150,6,14,13,10
4917,Mystery|Thriller|popularity,+0.901|+0.357|+0.323,6,14,3,1
4916,Comedy|modern|popularity,+0.771|+0.372|+0.125,8,12,4,1
4915,Adventure|popularity|Action,+0.813|+0.395|+0.355,7,13,13,10
4914,popularity|Comedy|modern,+0.642|+0.592|+0.303,7,13,18,18
4913,popularity|Documentary|Drama,+0.520|+0.322|+0.267,10,10,17,18
4912,contemporary|Documentary|modern,+0.309|+0.250|+0.248,13,7,7,11
4911,contemporary|popularity|modern,+0.604|+0.534|+0.217,15,5,13,14
4910,Action|popularity|Sci-Fi,+0.774|+0.492|+0.269,4,16,20,11
4909,retro|popularity|Documentary,+0.687|+0.368|+0.192,8,12,16,11
4908,Comedy|popularity|Musical,+0.677|+0.484|+0.245,10,10,19,18
4907,popularity|retro|War,+0.494|+0.185|+0.145,2,18,12,2
4906,Thriller|Mystery|popularity,+0.881|+0.283|+0.270,13,7,4,5
4905,popularity|Drama|retro,+0.600|+0.347|+0.228,4,16,13,11
4904,popularity|Drama|contemporary,+0.420|+0.289|+0.242,4,16,16,3
4903,contemporary|popularity|Drama,+0.582|+0.387|+0.274,10,10,7,7
4902,Sci-Fi|retro|popularity,+0.743|+0.392|+0.387,13,7,9,5
4901,classic|Western|Musical,+0.629|+0.462|+0.407,12,8,4,5
4900,contemporary|popularity|Fantasy,+0.295|+0.253|+0.242,16,4,10,8
4899,retro|popularity|Western,+0.338|+0.215|+0.187,15,5,3,3
4898,popularity|Documentary|War,+0.479|+0.358|+0.291,16,4,18,17
4897,Animation|Musical|popularity,+0.395|+0.238|+0.227,13,7,6,6
5172,Comedy|popularity|Romance,+0.444|+0.389|+0.334,9,11,10,6
4895,popularity|contemporary|Fantasy,+0.551|+0.313|+0.215,10,10,17,12
4894,Action|popularity|Sci-Fi,+0.760|+0.502|+0.274,5,15,20,10
4893,Action|popularity|Sci-Fi,+0.719|+0.521|+0.267,5,15,20,15
4892,Sci-Fi|Fantasy|Adventure,+0.739|+0.313|+0.306,18,2,1,1
4891,Comedy|popularity|Documentary,+0.689|+0.419|+0.247,13,7,19,17
4890,modern|popularity|Drama,+0.528|+0.449|+0.282,5,15,13,16
4889,Drama|modern|popularity,+0.640|+0.401|+0.332,10,10,2,2
4888,Comedy|popularity|Musical,+0.755|+0.274|+0.266,12,8,11,9
4887,popularity|modern|Animation,+0.528|+0.271|+0.231,8,12,19,19
4886,Sci-Fi|Fantasy|popularity,+0.822|+0.315|+0.311,12,8,16,8
4885,Adventure|popularity|Action,+0.788|+0.404|+0.367,8,12,12,6
4884,Western|classic|War,+0.870|+0.437|+0.364,17,3,3,5
4883,Fantasy|popularity|Animation,+0.545|+0.453|+0.414,9,11,6,7
4882,Comedy|retro|popularity,+0.674|+0.524|+0.313,11,9,6,8
4881,popularity|Romance|Musical,+0.354|+0.274|+0.245,17,3,9,7
4880,classic|Drama|War,+0.455|+0.403|+0.280,11,9,3,5
4879,Adventure|Fantasy|Sci-Fi,+0.922|+0.365|+0.306,7,13,2,4
4878,Comedy|popularity|Musical,+0.897|+0.305|+0.197,4,16,11,5
4877,Animation|Musical|Fantasy,+0.941|+0.476|+0.372,14,6,0,0
4876,Comedy|popularity|modern,+0.547|+0.459|+0.416,12,8,15,16
4875,modern|popularity|Drama,+0.554|+0.348|+0.263,5,15,15,15
4874,Crime|popularity|Mystery,+0.890|+0.342|+0.261,7,13,9,7
4873,classic|Documentary|Mystery,+0.540|+0.352|+0.274,11,9,12,19
4871,contemporary|popularity|Animation,+0.644|+0.420|+0.323,9,11,8,10
4872,Comedy|modern|popularity,+0.708|+0.351|+0.338,10,10,5,3
4870,popularity|Documentary|Mystery,+0.274|+0.269|+0.221,14,6,14,12
4869,contemporary|popularity|Drama,+0.589|+0.337|+0.304,12,8,7,9
4868,Sci-Fi|contemporary|Adventure,+0.726|+0.271|+0.270,14,6,0,1
4867,contemporary|popularity|Sci-Fi,+0.852|+0.346|+0.325,6,14,3,8
4866,Comedy|Fantasy|Musical,+0.830|+0.225|+0.190,9,11,0,1
4865,Comedy|popularity|Musical,+0.770|+0.311|+0.268,10,10,14,10
4864,popularity|Comedy|Romance,+0.659|+0.582|+0.350,6,14,19,20
4863,Comedy|popularity|Musical,+0.810|+0.392|+0.200,8,12,11,8
4862,Sci-Fi|popularity|Fantasy,+0.678|+0.314|+0.309,12,8,14,11
4861,popularity|contemporary|Documentary,+0.441|+0.372|+0.298,14,6,18,16
4860,popularity|retro|Animation,+0.397|+0.221|+0.151,10,10,14,4
4859,Musical|Animation|popularity,+0.631|+0.519|+0.478,17,3,8,6
4858,contemporary|popularity|Animation,+0.504|+0.332|+0.215,13,7,6,8
4857,Action|popularity|modern,+0.649|+0.487|+0.344,12,8,19,19
4856,Animation|Musical|popularity,+0.739|+0.386|+0.357,10,10,7,7
4855,Romance|popularity|Thriller,+0.467|+0.462|+0.411,13,7,11,10
4854,Documentary|Fantasy|War,+0.964|+0.247|+0.239,16,4,1,1
4853,retro|popularity|Documentary,+0.628|+0.423|+0.234,7,13,19,18
4852,Drama|popularity|classic,+0.693|+0.245|+0.238,3,17,5,1
4849,Comedy|retro|Fantasy,+0.637|+0.409|+0.252,12,8,0,0
4851,popularity|contemporary|Romance,+0.342|+0.293|+0.249,16,4,8,5
4850,Comedy|popularity|retro,+0.535|+0.518|+0.485,11,9,10,13
4847,popularity|Documentary|contemporary,+0.572|+0.325|+0.238,9,11,20,18
4848,Action|retro|popularity,+0.668|+0.514|+0.456,7,13,10,7
4846,contemporary|popularity|Comedy,+0.597|+0.406|+0.355,7,13,5,7
4845,Drama|modern|niche,+0.635|+0.509|+0.398,4,16,1,6
4844,popularity|modern|Drama,+0.574|+0.422|+0.207,8,12,19,19
4843,Drama|popularity|War,+0.852|+0.239|+0.188,3,17,5,1
4842,Sci-Fi|popularity|Fantasy,+0.605|+0.505|+0.406,11,9,20,19
4841,contemporary|popularity|Animation,+0.697|+0.446|+0.311,13,7,13,14
4840,popularity|modern|Animation,+0.521|+0.508|+0.167,4,16,15,12
4839,contemporary|Fantasy|popularity,+0.462|+0.263|+0.246,9,11,7,5
4838,Drama|modern|popularity,+0.689|+0.427|+0.415,6,14,6,8
4837,Comedy|Documentary|Fantasy,+0.747|+0.221|+0.159,16,4,0,1
4836,popularity|Animation|contemporary,+0.268|+0.256|+0.239,16,4,8,6
4835,Mystery|Crime|popularity,+0.943|+0.359|+0.334,15,5,2,1
4834,contemporary|popularity|Crime,+0.867|+0.284|+0.196,7,13,1,4
4833,Western|popularity|Animation,+0.381|+0.380|+0.326,16,4,8,7
4832,contemporary|popularity|Action,+0.794|+0.435|+0.293,13,7,9,6
4831,popularity|classic|Musical,+0.499|+0.267|+0.238,9,11,7,8
4830,Drama|popularity|retro,+0.654|+0.414|+0.372,10,10,9,8
4829,Animation|popularity|Adventure,+0.574|+0.370|+0.271,13,7,10,11
4828,Romance|modern|Musical,+0.781|+0.383|+0.245,11,9,1,0
4827,Animation|Musical|classic,+0.865|+0.512|+0.330,14,6,1,3
4826,contemporary|popularity|Animation,+0.421|+0.327|+0.259,15,5,9,8
4825,Action|popularity|modern,+0.750|+0.455|+0.265,11,9,18,18
4824,contemporary|popularity|Documentary,+0.706|+0.477|+0.266,13,7,11,15
4823,Drama|popularity|retro,+0.338|+0.333|+0.280,9,11,6,2
4822,Comedy|retro|popularity,+0.593|+0.457|+0.406,10,10,14,17
4821,retro|Western|popularity,+0.735|+0.412|+0.401,6,14,5,7
4820,popularity|Animation|Musical,+0.273|+0.258|+0.213,10,10,12,7
4819,retro|Drama|Fantasy,+0.565|+0.383|+0.255,12,8,0,2
4818,Animation|popularity|Musical,+0.771|+0.457|+0.368,13,7,9,8
4817,Mystery|Romance|popularity,+0.714|+0.519|+0.480,6,14,8,4
4816,modern|contemporary|popularity,+0.619|+0.423|+0.343,4,16,9,10
4815,popularity|Drama|Comedy,+0.449|+0.242|+0.202,13,7,14,8
4814,Fantasy|popularity|modern,+0.781|+0.408|+0.337,14,6,3,2
4813,contemporary|popularity|Comedy,+0.892|+0.394|+0.362,5,15,2,5
4812,Crime|Mystery|Action,+0.913|+0.333|+0.286,14,6,3,4
4811,classic|Documentary|niche,+0.441|+0.370|+0.304,12,8,16,20
4810,Action|Adventure|popularity,+0.791|+0.345|+0.275,10,10,0,1
4809,modern|popularity|Comedy,+0.579|+0.374|+0.206,9,11,12,10
4808,classic|Action|Western,+0.402|+0.291|+0.288,15,5,4,5
4807,popularity|classic|retro,+0.482|+0.348|+0.254,6,14,15,14
4806,Sci-Fi|Horror|Adventure,+0.683|+0.289|+0.274,16,4,1,1
4805,popularity|Sci-Fi|contemporary,+0.619|+0.462|+0.360,8,12,18,15
4804,contemporary|Horror|retro,+0.386|+0.254|+0.239,11,9,9,12
4803,popularity|Animation|Western,+0.372|+0.345|+0.336,16,4,8,5
4802,modern|contemporary|popularity,+0.343|+0.341|+0.296,10,10,8,12
4801,War|Western|popularity,+0.888|+0.401|+0.358,13,7,4,5
4800,retro|Horror|Fantasy,+0.612|+0.225|+0.216,15,5,2,1
4799,Comedy|popularity|Musical,+0.845|+0.417|+0.183,8,12,15,12
4798,Animation|Mystery|Crime,+0.212|+0.196|+0.181,16,4,3,4
4797,Comedy|modern|popularity,+0.783|+0.371|+0.225,7,13,3,1
4796,Romance|popularity|Mystery,+0.715|+0.303|+0.285,8,12,10,9
4795,popularity|Mystery|Crime,+0.563|+0.387|+0.334,11,9,17,15
4794,classic|popularity|Comedy,+0.517|+0.383|+0.381,16,4,2,6
4793,modern|popularity|Thriller,+0.601|+0.201|+0.142,4,16,2,6
4792,classic|popularity|Romance,+0.370|+0.366|+0.245,9,11,13,16
4790,contemporary|popularity|modern,+0.623|+0.417|+0.372,9,11,9,11
4791,popularity|contemporary|retro,+0.364|+0.295|+0.277,7,13,14,5
4788,Comedy|Documentary|Fantasy,+0.613|+0.308|+0.220,15,5,0,0
4789,retro|contemporary|Romance,+0.312|+0.284|+0.220,9,11,1,2
4787,contemporary|popularity|Documentary,+0.762|+0.389|+0.255,13,7,9,10
4786,modern|Fantasy|Animation,+0.369|+0.204|+0.192,16,4,1,1
4785,Thriller|popularity|Mystery,+0.615|+0.529|+0.268,3,17,11,2
4784,popularity|Comedy|contemporary,+0.459|+0.267|+0.196,10,10,19,19
4783,Thriller|Mystery|popularity,+0.862|+0.310|+0.310,14,6,4,5
4782,Thriller|popularity|Mystery,+0.518|+0.325|+0.310,14,6,13,14
4781,Comedy|popularity|modern,+0.626|+0.476|+0.445,9,11,15,14
4780,Thriller|Mystery|popularity,+0.712|+0.441|+0.339,7,13,4,2
4779,popularity|retro|contemporary,+0.279|+0.265|+0.257,17,3,2,1
4778,popularity|Comedy|Mystery,+0.648|+0.287|+0.139,9,11,14,14
4777,Adventure|Action|popularity,+0.870|+0.413|+0.364,7,13,16,8
4776,popularity|modern|Animation,+0.636|+0.424|+0.170,2,18,18,12
4775,contemporary|popularity|Fantasy,+0.428|+0.282|+0.249,12,8,12,10
4774,Musical|popularity|contemporary,+0.550|+0.411|+0.395,5,15,11,13
4773,popularity|Musical|Animation,+0.681|+0.269|+0.234,9,11,19,20
4772,popularity|classic|retro,+0.461|+0.313|+0.226,2,18,6,6
4771,modern|Drama|niche,+0.643|+0.416|+0.251,8,12,3,9
4770,popularity|Documentary|classic,+0.590|+0.268|+0.239,8,12,20,20
4769,Sci-Fi|popularity|Animation,+0.415|+0.360|+0.279,17,3,16,15
4768,modern|popularity|contemporary,+0.457|+0.448|+0.255,7,13,17,14
4767,Animation|Musical|Fantasy,+0.692|+0.453|+0.389,15,5,1,2
4766,contemporary|modern|Documentary,+0.331|+0.254|+0.236,13,7,5,10
4765,Animation|Musical|Fantasy,+0.603|+0.456|+0.431,13,7,1,1
4764,popularity|Comedy|Animation,+0.588|+0.516|+0.382,15,5,18,20
4763,modern|popularity|contemporary,+0.487|+0.374|+0.363,5,15,10,12
4762,Drama|popularity|classic,+0.597|+0.271|+0.258,9,11,5,4
4761,popularity|Horror|retro,+0.545|+0.435|+0.288,11,9,13,17
4760,popularity|contemporary|Animation,+0.384|+0.283|+0.265,14,6,13,7
4759,Comedy|popularity|Animation,+0.819|+0.354|+0.258,10,10,8,5
4758,Drama|modern|popularity,+0.603|+0.436|+0.399,10,10,11,13
4757,contemporary|popularity|Romance,+0.892|+0.343|+0.231,8,12,0,5
4756,contemporary|Documentary|popularity,+0.299|+0.246|+0.245,12,8,9,8
4755,popularity|Western|Musical,+0.354|+0.274|+0.262,17,3,9,8
4754,retro|Horror|contemporary,+0.579|+0.331|+0.301,14,6,0,1
4753,popularity|retro|Drama,+0.371|+0.194|+0.187,13,7,14,9
4752,Romance|popularity|Musical,+0.821|+0.397|+0.245,10,10,13,11
4751,contemporary|popularity|Drama,+0.750|+0.384|+0.276,8,12,7,8
4750,Musical|Romance|Animation,+0.883|+0.398|+0.384,12,8,1,7
4749,contemporary|popularity|Fantasy,+0.319|+0.257|+0.216,16,4,9,7
4748,contemporary|popularity|Documentary,+0.762|+0.461|+0.228,13,7,7,11
4747,Drama|popularity|modern,+0.648|+0.422|+0.421,5,15,7,8
4746,retro|Fantasy|popularity,+0.710|+0.332|+0.326,10,10,8,3
4745,popularity|Animation|Comedy,+0.721|+0.180|+0.164,7,13,20,14
4744,popularity|retro|Fantasy,+0.504|+0.249|+0.152,7,13,8,5
4743,classic|War|Western,+0.630|+0.387|+0.322,13,7,7,7
4742,popularity|contemporary|War,+0.505|+0.301|+0.206,12,8,17,15
4741,Crime|popularity|Documentary,+0.501|+0.474|+0.345,12,8,17,18
4740,Romance|Musical|retro,+0.675|+0.378|+0.353,6,14,2,13
4739,popularity|contemporary|Action,+0.670|+0.357|+0.248,4,16,19,13
4738,Western|classic|War,+0.981|+0.424|+0.383,10,10,2,5
4737,Comedy|retro|popularity,+0.628|+0.518|+0.311,11,9,8,12
4736,Animation|popularity|contemporary,+0.321|+0.299|+0.238,8,12,10,8
4735,Mystery|Thriller|Crime,+0.960|+0.335|+0.331,17,3,2,2
4734,Drama|popularity|Documentary,+0.344|+0.328|+0.318,11,9,15,14
4733,Fantasy|popularity|Mystery,+0.520|+0.437|+0.417,14,6,10,5
4732,Western|War|classic,+0.942|+0.383|+0.347,16,4,3,5
4731,Comedy|popularity|Musical,+0.769|+0.485|+0.210,10,10,19,18
4730,contemporary|retro|popularity,+0.285|+0.233|+0.225,15,5,4,5
4729,Drama|retro|popularity,+0.604|+0.604|+0.266,12,8,1,0
4728,retro|popularity|Documentary,+0.464|+0.371|+0.282,10,10,14,16
4727,popularity|War|contemporary,+0.523|+0.366|+0.358,14,6,19,19
4726,Drama|modern|Romance,+0.605|+0.558|+0.145,5,15,0,1
4725,Horror|contemporary|Sci-Fi,+0.800|+0.283|+0.256,13,7,0,0
4724,modern|popularity|Drama,+0.512|+0.411|+0.286,7,13,14,16
4723,Musical|popularity|retro,+0.202|+0.196|+0.189,14,6,5,2
4722,Sci-Fi|popularity|Action,+0.546|+0.525|+0.271,15,5,19,18
4721,Western|contemporary|popularity,+0.396|+0.363|+0.327,15,5,10,8
4720,popularity|modern|Comedy,+0.567|+0.353|+0.333,11,9,17,14
4719,Adventure|Fantasy|Action,+0.822|+0.333|+0.316,16,4,4,5
4718,Animation|Fantasy|Adventure,+0.600|+0.478|+0.375,11,9,0,4
4716,popularity|retro|Documentary,+0.378|+0.307|+0.273,13,7,14,11
4715,retro|Sci-Fi|Musical,+0.316|+0.259|+0.240,14,6,1,1
4714,Comedy|classic|Musical,+0.539|+0.313|+0.278,12,8,8,12
4713,Romance|modern|popularity,+0.878|+0.315|+0.302,7,13,4,1
4712,popularity|classic|Western,+0.563|+0.248|+0.233,7,13,15,15
4711,Action|popularity|War,+0.733|+0.463|+0.270,8,12,15,10
4717,retro|popularity|War,+0.327|+0.267|+0.245,12,8,9,4
4710,popularity|retro|Musical,+0.310|+0.216|+0.209,11,9,7,3
4709,retro|popularity|Fantasy,+0.670|+0.483|+0.178,5,15,17,13
4708,contemporary|popularity|Crime,+0.769|+0.516|+0.236,8,12,8,10
4707,popularity|Comedy|Musical,+0.615|+0.403|+0.313,12,8,20,19
4706,popularity|Action|Sci-Fi,+0.554|+0.427|+0.317,14,6,20,20
4705,Musical|Animation|popularity,+0.492|+0.433|+0.401,3,17,8,1
4704,popularity|contemporary|modern,+0.369|+0.331|+0.235,13,7,9,11
4703,popularity|Western|contemporary,+0.412|+0.341|+0.326,18,2,8,8
4702,popularity|contemporary|Documentary,+0.605|+0.321|+0.268,11,9,20,20
4701,popularity|modern|Thriller,+0.621|+0.474|+0.296,5,15,16,13
4700,Comedy|popularity|Animation,+0.411|+0.376|+0.357,15,5,17,17
4699,Adventure|Fantasy|modern,+0.837|+0.317|+0.299,11,9,3,2
4698,contemporary|Fantasy|Documentary,+0.324|+0.236|+0.236,15,5,7,11
4697,Animation|popularity|contemporary,+0.415|+0.360|+0.340,16,4,8,6
4695,Comedy|popularity|modern,+0.732|+0.452|+0.362,10,10,11,11
4696,popularity|Animation|Fantasy,+0.348|+0.207|+0.197,10,10,15,7
4694,popularity|classic|Western,+0.540|+0.332|+0.229,10,10,18,18
4693,War|popularity|Western,+0.960|+0.354|+0.348,9,11,9,7
4692,Documentary|modern|Musical,+0.940|+0.286|+0.275,11,9,0,7
4691,popularity|modern|Animation,+0.516|+0.276|+0.172,8,12,14,15
4690,popularity|Animation|contemporary,+0.356|+0.261|+0.246,17,3,8,6
4689,contemporary|popularity|Animation,+0.792|+0.494|+0.301,13,7,7,4
4688,classic|popularity|Drama,+0.504|+0.416|+0.386,4,16,6,9
4687,Fantasy|Adventure|popularity,+0.937|+0.358|+0.346,11,9,7,7
4686,Sci-Fi|popularity|retro,+0.494|+0.471|+0.316,14,6,17,15
4685,popularity|retro|Adventure,+0.504|+0.430|+0.424,11,9,17,18
4684,popularity|Documentary|Drama,+0.381|+0.369|+0.265,8,12,15,16
4683,Adventure|Fantasy|Animation,+0.737|+0.423|+0.392,12,8,1,1
4682,modern|Thriller|popularity,+0.528|+0.445|+0.347,3,17,9,8
4681,modern|popularity|Documentary,+0.515|+0.354|+0.292,8,12,16,18
4680,Sci-Fi|classic|Horror,+0.460|+0.423|+0.361,6,14,4,16
4679,contemporary|popularity|Documentary,+0.289|+0.276|+0.220,13,7,10,7
4678,Western|popularity|contemporary,+0.411|+0.330|+0.328,16,4,7,6
4677,popularity|retro|Musical,+0.342|+0.190|+0.182,11,9,10,7
4676,popularity|modern|Comedy,+0.626|+0.424|+0.410,12,8,18,18
4675,Comedy|Documentary|popularity,+0.891|+0.186|+0.181,11,9,3,3
4674,contemporary|popularity|Sci-Fi,+0.394|+0.387|+0.348,5,15,15,2
4673,contemporary|Horror|Sci-Fi,+0.687|+0.289|+0.267,10,10,1,11
4672,Western|popularity|contemporary,+0.367|+0.325|+0.307,18,2,7,7
4671,Action|popularity|modern,+0.802|+0.346|+0.292,12,8,9,11
4670,Musical|Animation|Fantasy,+0.699|+0.492|+0.416,12,8,8,8
4669,Mystery|popularity|classic,+0.525|+0.430|+0.386,11,9,8,12
4668,Sci-Fi|popularity|Fantasy,+0.690|+0.410|+0.276,10,10,17,12
4896,contemporary|Animation|Musical,+0.909|+0.247|+0.227,11,9,1,3
4667,popularity|Documentary|retro,+0.518|+0.301|+0.229,10,10,20,20
4666,classic|Musical|Western,+0.458|+0.392|+0.345,15,5,1,2
